Alabama           51705   4083   67365412 03/18/39  67  32454 116   40600   619  110  504336  202680   86080
Alaska           591004    525   26273155 03/25/47  10 375304   1       .     .    .       .       .       .
American-Samoa       77      .      29500    .       .      .   .       .     .    .       .       .       .
Arizona          114000   3386   68554330 06/15/41  38  75989   2    6671  1451  906       .       .       .
Arkansas          53187   2388   63222530 07/01/37  76  33176  82   11508  2873   74       .       .       .
California       158706  27663  111722390 06/26/38 118  75292  83       .     .    .       .       .       .
Colorado         104091   3296   13838744 05/06/37  80  61257  31   14100  4600 1294  265982   10093       0
Connecticut        5018   3211   32931952 07/18/45   8   3135   4       .     .    .       .       .       .
Delaware           2044    644    5698813 04/02/43   3   1309   3     291   155   45       .       .       .
Dist-Columbia        68    626        500 07/12/82   1     44   0      36    26   26     377     136     136
Florida           58664  12023  226110107 06/10/37  63  31864  61   12659  2695  510 2085120  546560   50560
Georgia           58910   6222   98279750 03/23/37  40  37665  78   20000  1119   10  417730   39878       0
Hawaii             6471   1083    2115399 05/19/47  15   4035   5     349     .    .       .       .       .
Idaho             83564    998   14453504 03/09/39  51  51178  26   16146     . 1468  727202       .   32000
Illinois          56345  11582  136706167 07/09/37  98  28502  89   14080  5425 1834  305847       .   13381
Indiana           36185   5531  212813094 03/11/37  92  23168  71   90000  2306  922  104540   54686    1106
Iowa              56275   2834   44938969 07/04/39  99  35106 106   18300  2624 2097   81400   20700       0
Kansas            82277   2476  116681878 04/10/37 105  51873 133   19791  2697  556  175189   92098       0
Kentucky          40409   3727   81174022 06/11/40 121  25377 102   18465     . 1084  228385       .       .
Louisiana         47751   4461  715743928 07/27/38  43  26414  28   14180     .  116  713719       .    1170
Maine             33265   1187   17949031 03/25/41  16  15071  17   31672   865  435  994560   38106     400
Maryland          10460   4535   23806487 06/02/37  24   6636  15       .     .    .       .       .       .
Massachusetts      8284   5855   28103992 06/28/45  16   5065   5   10704   999  264       .       .       .
Michigan          58527   9200  119999498 07/23/37  83  36034  59       .     .    .       .       .       .
Minnesota         84402   4246   53035977 04/26/37  90  50745 121   91944  1855 1599 3411200 1367131 1245929
Mississippi       47689   2625  111760882 04/04/38  82  30521  54   15623  1075  271  500000    4557       0
Missouri          69697   5103  929008174 07/23/94 112  41755 146   19630  3650  458  288012       .     561
Montana          147046    809   35419648 02/28/39  63  88703  26   20532     .  890  756450       .    9100
Nebraska          77355   1594   17931771 05/18/37  23  47795  60       .     .    .      .        .      .
Nevada           110561   1007    4215391 03/30/37  29  50339   3       .     .    .      .        .      .
New-Hampshire      9279   1057   12568509 05/10/45  10   5955   3       .     .    .      .        .      .
New-Jersey         7787   7672   40403511 07/01/37  16   4779   8       .     .    .      .        .      .
New-Mexico       121593   1500   24151925 03/17/37  47  72604  27       .     .    .      .        .      .
New-York          49108  17825   96032605 07/20/40  57  30488  40   70000  3400  345  750000  668000  130946
North-Carolina    52669   6413  108638688 03/22/37 100  33709  74   37378     .  382  305367  282909    9688
North-Dakota      70703    672    1240612 03/16/37  61  43322  43   11284  6829  560  625503   39938       0
Ohio              41330  10784  229473876 06/05/41  88  26260  87   43917     . 1637  117323   91226   29729
Oklahama          69956   3272   39605430 04/15/37  89  44000 128   19791  4997 4608       .       .       .
Oregon            97073   2724   21222827 04/07/39  45  60603  31       .     .    .       .       .       .
Pennsylvania      45308  11936  101866198 07/02/37  66  28503  52   50000     . 1508       .       .       .
Puerto-Rico        3515   3274   15795208 07/01/46  17   2033  34    5373  1710 1505   11146    2982     981
Rhode-IsLand       1212    986    6317637 04/26/43   3    675   1     724    80   59   16520    4968       0
South-Carolina    31113   3425   65518755 04/17/37  46  19912  26    9900  2518  180  525000  354114    8560
South-Dakota      77116    709    2481361 07/01/37  69  45026  42    9937  3080  163 1598285  548000       0
Tennessee         42144   4855  203212545 03/10/39  95  25353 165       .     .    .      .        .       .
Texas            266807  16789  595907459 04/24/39 208 169890 174       .     .    .      .        .       .
Utah              84899   1680  135025920 03/23/37  28  43409  10       .     .    .      .        .       .
Vermont            9614    548    1656692 04/18/39  14   6150   6       .     .    .      .        .       .
Virgin-Islands      132      .    1633634 06/01/46   1     85   1       .     .    .      .        .       .
Virginia          40767   5904  144434862 04/01/38  45  25410  52   27240  3535   296 161562   57992       0
Washington        68138   4538   42029962 03/17/39  48  37073  34   40492  1189   846 613582  134834  134822
West-Virginia     24231   1897   35815259 06/12/39  14  14439  17   28361  4574  3795  19171   13465    4655
Wisconsin         56153   4807   51893559 07/01/37  72  35938  82       .     .     .      .       .       .
Wyoming           97809    490   45353102 05/22/41  35  62094  10   19437   544     7 427219    6098       0

