ACURA      INTEGRA-RS   9948  11148  9.3 17.0 120 258 V 64.1 .79 70 24.5   1
ACURA      LEGEND-SDN  19298  19298  8.1 16.4 129 283 G 61.9 .77 68 20.5   2
ACURA      LEGEND-CPE  22000  22000  7.7 16.0 130 274 G 63.0 .77 68 19.5   3
ALFA-ROMEO MILANO-VER  19800  20895  7.5 15.8 136 253 V 59.8 .79 72 21.0   4
AUDI       90-QUATTRO  27720  27820  9.5 17.0 128 249 E   .  .79  . 21.0   5
AUDI       5000        18660  18660 11.6 18.4 113 291 G 60.9 .73 68 24.5   6
BMW        325IS       28400  28400  7.5 15.7 133 263 V   .  .79 70 20.5   7
BMW        325IX       32800  33175  7.9 15.9 127 253 E 63.7 .77 71 20.0   8
BMW        M3          34000  34000  7.1 15.4 143 239 E 63.9 .82 75 20.5   9
BMW        635CSI      43055  43705  8.5 16.3 131 263 V 59.9 .80 73 17.5  10
BMW        735I        48500  49740  9.3 17.0 137 245 E 59.1 .77 68 18.0  11
BMW        750IL       67000  68850  6.9 15.2 155 236 E 60.1 .79 65 16.0  12
BUICK      REATTA      27000  27800  8.9 16.8 125 273 V 62.1 .80 72 16.6  13
BUICK      REGAL-CSTM  12449  16142 11.2 18.2   . 304 F 63.5 .78 70 20.5  14
CADILLAC   ALLANTE     56533  56632  9.5 17.2 119 257 V 61.0 .77 68 17.1  15
CHEVROLET  BERETTA-GT   9470  12867  8.3 16.3 115 286 G 62.4 .81 73 20.0  16
CHEVROLET  CAMAROIROC  12819  18096  6.6 14.9 150 266 G 63.0 .87 77 16.7  17
CHEVROLET  CAVALIRZ24   8878  11213  8.5 16.7 113 274 G 64.8 .83 71 22.0  18
CHEVROLET  CORVETCONV  34820  38352  6.0 14.6 158 225 E 64.5 .87 76 19.3  19
CHEVROLET  CORVETTZ51  29480  34034  6.0 14.6 158   . E 64.4 .89  . 17.5  20
CHEVROLET  NOVATWINCM  11395  12070  8.9 16.7 110 271 G 62.3 .74 73 26.5  21
CHEVROLET  SPRINT4DR    6585   8123 14.6 19.2   . 290 F 57.2 .72 75 37.5  22
CHRYSLER   LEBARONCPE  12288  16154  8.8 16.8 120 276 V 61.5 .78 72 20.5  23
DAIHATSU   CHARADECLX   7650   9045 15.2 19.5   . 280 F 56.5 .71 73 36.5  24
EAGLE      PREMIERES   14079  15916 10.5 17.7 125 280 G 64.1 .78 72 19.0  25
FERRARI    GTO             .      .  5.0 14.1 180 240 ?   .  .    . 13.5  26
FERRARI    TESSTAROSS 102500 102500  5.3 13.4 181 242 ? 61.9 .87  . 12.0  27
FERRARI    3.2MONDIAL  69500  69500  7.1 15.3 145 250 ? 61.5 .84  .   .   28
FERRARI    328GTS      78850  78850  6.7 15.0 149 234 E 62.9 .87 78 18.2  29
FERRARI    412             .      .  6.7 15.0 147 230 ? 60.9 .82  .   .   30
FORD       FESTIVAL     5765   5765 10.2 17.8  95 286 G   .  .69 76 37.0  31
